ファイル名,ページ,番号,日本語,翻訳
ミャンマー語_pdfplumber_抽出_最終版.csv,6,10.0,厚生年金,အလပု ်ပငစ် ငအ် ာမ
ミャンマー語_pdfplumber_抽出_最終版.csv,6,11.0,雇用保険,အလပု ်အာမ
ミャンマー語_pdfplumber_抽出_最終版.csv,6,12.0,健康保険,က န်း် မာသရ်းအာမ
ミャンマー語_pdfplumber_抽出_最終版.csv,6,13.0,社会保険,လမူ ှုဖူလသ ု ရ်းအာမ
ミャンマー語_pdfplumber_抽出_最終版.csv,7,14.0,労災,လပု ်ငန်း် ငွ ် ထ ှိ ကှို ဒ် ဏရ် ာရမှု
ミャンマー語_pdfplumber_抽出_最終版.csv,7,15.0,労災保険,အလပု ်သမာ်းနစ်နာသကက်း အာမ
ミャンマー語_pdfplumber_抽出_最終版.csv,8,1.0,遅刻（する）,အလပု ်သနာကက် (သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,8,2.0,早退（する）,အလပု ်သစာခပန်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,8,3.0,休憩（する）,အနာ်းယူ(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,8,4.0,残業（する）,အ ှိနပ် ှိုအလပု ်(ဆင်း် သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,8,5.0,定時,ပ ုမ နအ် ှိန်
ミャンマー語_pdfplumber_抽出_最終版.csv,8,6.0,規則,စည်း် မ ဉ််းစည်း် ကမ််း
ミャンマー語_pdfplumber_抽出_最終版.csv,8,7.0,休日,အလပု ်နာ်းရက်
ミャンマー語_pdfplumber_抽出_最終版.csv,8,8.0,始業時間,အလပု ်စ ှိန်
ミャンマー語_pdfplumber_抽出_最終版.csv,8,9.0,終業時間,အလပု ်ပပ ်း ှိန်
ミャンマー語_pdfplumber_抽出_最終版.csv,8,10.0,指導員,သငတ် န်း် မ ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,8,11.0,生活指導員,သနထငှို မ် ှုပ ုစ သလကဲ့ ငသ်ဲ့ ပ်းသူ
ミャンマー語_pdfplumber_抽出_最終版.csv,8,12.0,担当者,တာဝန ်
ミャンマー語_pdfplumber_抽出_最終版.csv,8,13.0,スイッチ入れるな,လတု မ် ဖွငန်ဲ့ ဲ့
ミャンマー語_pdfplumber_抽出_最終版.csv,8,14.0,スイッチ切るな,လတု မ် ပှိတန် ဲ့
ミャンマー語_pdfplumber_抽出_最終版.csv,8,15.0,使用禁止,အသ်း ု မခပြုံရ
ミャンマー語_pdfplumber_抽出_最終版.csv,9,1.0,5S,5S
ミャンマー語_pdfplumber_抽出_最終版.csv,9,2.0,整理,စနစ်တက ထာ်းရှိ ခ င်း် (Seiri)
ミャンマー語_pdfplumber_抽出_最終版.csv,9,3.0,整頓,စ သတမ် တထ် ာ်းရှိ ခ င်း် (Sei-ton)
ミャンマー語_pdfplumber_抽出_最終版.csv,10,5.0,清潔,သနရ် ဲ့ င်း် သပ်ရပ်မှု (Sei-ketsu)
ミャンマー語_pdfplumber_抽出_最終版.csv,10,6.0,しつけ,အစဉ်အလာဓသလထဲ့ ်း ု စ (Shi-tsuke)
ミャンマー語_pdfplumber_抽出_最終版.csv,10,7.0,掃除（する）,သနရ် ဲ့ င်း် သရ်း(လပု ်သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,11,8.0,片づける,သမှိ ််းဆည်း် သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,53,1.0,片づける,သနစ် ဲ့ ငသ် မှိ ််းဆည်း် သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,9.0,捨てる,စွနပ် ဲ့ စ်သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,53,2.0,捨てる,စွနပ် ဲ့ စ်သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,10.0,汚い,ညစ်ပတသ် သာ
ミャンマー語_pdfplumber_抽出_最終版.csv,11,11.0,汚れる,ညစ်သပသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,12.0,分別（する）,အမ ှိြုံ်းအစာ်း ခွ ာ်း(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,11,13.0,燃えないごみ,မ ်းရှုှိွဲ့လမှို ဲ့ ရတအ ဲ့ မှိှုက်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,14.0,燃えるごみ,မ ်းရှုှိွဲ့လရှို ဲ့ တအ ဲ့ မှိှုက်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,15.0,挟まれる,ညပ်သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,16.0,巻き込まれる,ညပ်ပါသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,17.0,やけど（する）,အပူသလာင်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,11,18.0,落ちる,က ဆင်း် သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,11,19.0,すべる,သ ာ်လသ ည်
ミャンマー語_pdfplumber_抽出_最終版.csv,12,20.0,転ぶ,လက သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,12,21.0,濡れる,သရစှိုသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,12,22.0,衛生,သနရ် ဲ့ င်း် သပ်ရပ်မှု
ミャンマー語_pdfplumber_抽出_最終版.csv,12,23.0,避難（する）,သေ်းသရ ာင်(သည်)
ミャンマー語_pdfplumber_抽出_最終版.csv,12,24.0,救急車,လနူ ာတငယ် ာဉ်
