CSV行,日本語,Page,番号,マッチ
204,保護具,17,7.0,✓
205,あごひも,17,8.0,✓
206,ボタン,17,9.0,✓
207,ポケット,17,10.0,✓
208,保護メガネ,17,11.0,✓
209,マスク,17,12.0,✓
210,耳栓,17,13.0,✓
211,安全靴,17,14.0,✓
212,墜落制止用器具（安全 帯）,17,15.0,✓
213,業務,18,16.0,✓
214,時間厳守,18,17.0,✓
215,予定,18,18.0,✓
216,日付,18,19.0,✓
217,準備,18,20.0,✓
218,準備（する）,18,,✓
219,会議,18,21.0,✓
220,朝礼,18,22.0,✓
221,報告書,18,23.0,✓
222,マニュアル,18,24.0,✓
223,作業手順書,18,25.0,✓
224,調子,18,26.0,✓
225,立入禁止,19,1.0,✓
226,禁煙,19,2.0,✓
227,駐車禁止,19,4.0,✓
228,足もと注意,19,5.0,✓
229,開口部注意,19,6.0,✓
230,感電注意,19,7.0,✓
231,堕落注意,19,8.0,✓
232,頭上注意,19,9.0,✓
233,警報設備,19,10.0,✓
234,AED設置場所,20,12.0,✓
235,保護帽着用,20,13.0,✓
236,安全帯使用,20,14.0,✓
237,昇降階段,22,15.0,✓
238,休憩所,20,16.0,✓
239,最大積載荷重,20,17.0,✓
240,喫煙所,20,18.0,✓
241,整理整頓,20,19.0,✓
242,安全通路,20,20.0,✓
243,三連クランプ,21,1.0,✓
244,ベルトコンベア （ベルコン）,21,2.0,✓
245,かけや,50,4.0,✓
246,ランマ,21,4.0,✓
247,自在クランプ,21,5.0,✓
248,キャッチクランプ,21,6.0,✓
249,吊り上げ用クランプ,21,7.0,✓
250,直交クランプ,21,8.0,✓
251,フック,33,6.0,✓
252,ストレートシャックル,21,10.0,✓
253,滑車,22,11.0,✓
254,クレーン,22,12.0,✓
255,移動式クレーン,22,13.0,✓
256,介しゃくロープ,22,14.0,✓
257,筋かい止めピン,22,16.0,✓
258,脚柱ジョイント,22,17.0,✓
259,連結ピン,22,18.0,✓
260,ジョイント金具,22,19.0,✓
261,レバーブロック,22,20.0,✓
262,電動のこ（丸のこ）,22,21.0,✓
263,モンキースパナ,23,22.0,✓
264,親綱支柱,23,23.0,✓
265,ブラケット,23,24.0,✓
266,梯子,23,25.0,✓
267,親綱,24,1.0,✓
268,建枠（ビティ）,24,2.0,✓
269,メッシュシート,24,3.0,✓
270,防音パネル,24,4.0,✓
271,朝顔材,24,5.0,✓
272,架空線,24,6.0,✓
273,幅木（仮設足場）,24,7.0,✓
274,単管,24,8.0,✓
275,脚立,24,9.0,✓
276,作業半径,24,10.0,✓
277,仮ボルト,25,11.0,✓
278,手直し,25,12.0,✓
279,面一,25,13.0,✓
280,点検事項,25,14.0,✓
281,積載荷重,25,15.0,✓
282,すき間,25,16.0,✓
283,通りを見る,25,17.0,✓
284,組立,25,18.0,✓
285,地組,25,19.0,✓
286,天端,25,20.0,✓
287,玉掛け,26,21.0,✓
288,合図,26,22.0,✓
289,定格荷重,26,23.0,✓
290,たち,26,24.0,✓
291,安全帯,27,2.0,✓
292,インサート,27,3.0,✓
293,スペーサ,27,4.0,✓
294,鉄筋,27,5.0,✓
295,電工ドラム（ドラム）,27,6.0,✓
296,電動丸のこ（電のこ）,27,7.0,✓
297,パッキン,27,8.0,✓
298,小バール,27,9.0,✓
299,大バール,27,10.0,✓
300,化粧合板,28,11.0,✓
301,普通合板,28,12.0,✓
302,スタイロフォーム,28,13.0,✓
303,面木,28,14.0,✓
304,バイブレーター,28,15.0,✓
305,剥離剤,28,16.0,✓
306,けこみ板,28,17.0,✓
307,目地棒,28,18.0,✓
308,コンクリート,28,19.0,✓
309,コンベックス,28,20.0,✓
310,作業用手袋,29,21.0,✓
311,差金,29,22.0,✓
312,水平器,29,23.0,✓
313,墨さし,29,24.0,✓
314,墨つぼ,29,25.0,✓
315,丸セパレーター（丸セパ）,30,1.0,✓
316,天端釘,30,2.0,✓
317,けれん,30,3.0,✓
318,型枠支保工,30,4.0,✓
319,基礎型枠（メタルフォー ム）,30,5.0,✓
320,釘仕舞い,30,6.0,✓
