言語,Page,番号,単語,翻訳
英語,13,22,寝不足,Lack of sleep
英語,13,23,安全ネット,Safety net
英語,13,24,安全点検,Safety inspection
英語,14,1,KY活動（危険予知活動）,KY Activities (Hazard prediction activities)
英語,14,2,危険,Hazard
英語,14,3,ぶつかる,Bump into
英語,14,4,当たる,Hit
英語,14,5,下敷きになる,Become trapped under
英語,14,6,打つ,Strike
英語,14,7,バランスを崩す,Lost one's balance
英語,14,8,倒れる,Collapse
英語,14,9,転落（する）,Falling off ( Fall off)
英語,14,10,指差呼称,Pointing and calling
英語,14,11,ヒヤリハット,"""Hiyari-Hatto"" (Near-miss incident)"
英語,14,12,原因,Cause
英語,14,13,対策,Countermeasure
英語,14,14,落下（する）,Falling (Fall)
英語,14,15,墜落（する）,Falling down (Fall down)
英語,14,16,確認（する）,Check (Check)
英語,15,1,作業着,Work clothes
英語,15,,,
英語,15,2,作業服,Work uniform
英語,15,3,作業靴,Work shoes
英語,15,4,手袋,Gloves
英語,15,,,
英語,15,5,帽子,Cap
英語,15,6,保護帽（ヘルメット）,Safety helmet (Helmet)
英語,15,7,保護具,Protective equipment
英語,15,,,
英語,15,8,あごひも,Chin strap
英語,15,9,ボタン,Button
英語,15,10,ポケット,Pocket
英語,15,,,
英語,15,11,保護メガネ,Safety glasses
英語,15,12,マスク,Mask
英語,15,13,耳栓,Earplugs
英語,15,14,安全靴,Safety shoes
英語,15,15,墜落制止用器具（安全 帯）,Fall protection equipment (Safety belt)
英語,16,16,業務,Work
英語,16,17,時間厳守,Punctuality
英語,16,18,予定,Schedule
英語,16,19,日付,Date
英語,16,20,準備（する）,Preparation (Prepare)
英語,16,21,会議,Meeting
英語,16,22,朝礼,Morning meeting
英語,16,23,報告書,Report
英語,16,24,マニュアル,Manual
英語,16,25,作業手順書,Operating procedures
英語,16,26,調子,Condition
英語,17,1,立入禁止,DO NOT ENTER
英語,17,2,禁煙,NO SMOKING
英語,17,3,火気厳禁,NO OPEN FLAMES
英語,17,4,駐車禁止,NO PARKING
英語,17,5,足もと注意,WATCH YOUR STEP
英語,17,6,開口部注意,DANGER OPEN HOLE
英語,17,7,感電注意,DANGER ELECTRIC SHOCK RISK
英語,17,8,堕落注意,DANGER FALL HAZARD(cid:9)
英語,17,9,頭上注意,WATCH YOUR HEAD
