言語,Page,番号,単語,翻訳
中国語,14,10,指差呼称,手指呼号
中国語,14,11,ヒヤリハット,险兆
中国語,14,12,原因,原因
中国語,14,13,対策,对策
中国語,14,14,落下（する）,掉落
中国語,14,15,墜落（する）,坠落
中国語,14,16,確認（する）,确认
中国語,15,1,作業着,工装
中国語,15,,,
中国語,15,2,作業服,工作服
中国語,15,3,作業靴,工作鞋
中国語,15,4,手袋,手套
中国語,15,,,
中国語,15,5,帽子,帽子
中国語,15,6,保護帽（ヘルメット）,安全帽
中国語,15,7,保護具,防护用具
中国語,15,,,
中国語,15,8,あごひも,帽带
中国語,15,9,ボタン,纽扣
中国語,15,10,ポケット,口袋
中国語,15,,,
中国語,15,11,保護メガネ,防护眼镜
中国語,15,12,マスク,口罩
中国語,15,13,耳栓,耳栓
中国語,15,14,安全靴,安全鞋
中国語,15,15,墜落制止用器具（安全 帯）,坠落防护装备（安全带）
中国語,16,16,業務,业务、工作
中国語,16,17,時間厳守,严守时间
中国語,16,18,予定,计划
中国語,16,19,日付,日期
中国語,16,20,準備（する）,准备
中国語,16,21,会議,会议
中国語,16,22,朝礼,晨会、早礼
中国語,16,23,報告書,报告书
中国語,16,24,マニュアル,手册
中国語,16,25,作業手順書,作业步骤手册
中国語,16,26,調子,情况、样子
中国語,17,1,立入禁止,禁止入内
中国語,17,2,禁煙,禁止吸烟
中国語,17,3,火気厳禁,严禁烟火
中国語,17,4,駐車禁止,禁止停车
中国語,17,5,足もと注意,注意脚下
中国語,17,6,開口部注意,当心开口处
中国語,17,7,感電注意,当心触电
中国語,17,8,堕落注意,当心坠落
中国語,17,9,頭上注意,当心头顶
中国語,17,10,警報設備,警报设备
中国語,18,11,消火器,灭火器
中国語,18,12,AED設置場所,AED（自动体外除颤器） 设置点
中国語,18,13,保護帽着用,必须带安全帽
中国語,18,14,安全帯使用,必须系安全带
中国語,18,15,昇降階段,上下楼梯
中国語,18,16,休憩所,休息区
中国語,18,17,最大積載荷重,最大载荷
中国語,18,18,喫煙所,吸烟处
中国語,18,19,整理整頓,整理整顿
中国語,18,20,安全通路,安全通道
中国語,19,1,三連クランプ,三连夹板、三连杆夹钳
中国語,19,2,ベルトコンベア （ベルコン）,传送带
中国語,19,3,かけや,大木锤
中国語,19,4,ランマ,夯土机、夯锤
中国語,19,5,自在クランプ,自由夹具
中国語,19,6,キャッチクランプ,夹具
中国語,19,7,吊り上げ用クランプ,夹钳吊具
中国語,19,8,直交クランプ,直角交结用夹钳
中国語,19,9,フック,钩、钩子
中国語,19,10,ストレートシャックル,直形钩环
中国語,20,11,滑車,滑车、滑轮
中国語,20,12,クレーン,吊车
中国語,20,13,移動式クレーン,移动式吊车
中国語,20,14,介しゃくロープ,补助绳
中国語,20,15,昇降階段,升降楼梯、上下楼梯
中国語,20,16,筋かい止めピン,交叉杆固定销
中国語,20,17,脚柱ジョイント,脚柱接头
中国語,20,18,連結ピン,连接销钉
中国語,20,19,ジョイント金具,连接器、连接零件
中国語,20,20,レバーブロック,杠杆式滑车倒链
中国語,20,21,電動のこ（丸のこ）,电动锯（圆锯）
中国語,21,22,モンキースパナ,活扳手
中国語,21,23,親綱支柱,主绳支柱
中国語,21,24,ブラケット,护在钢桩上的牛脚、隅 撑
中国語,21,25,梯子,梯子
中国語,22,1,親綱,主绳
中国語,22,2,建枠（ビティ）,框架
中国語,22,3,メッシュシート,纱布、苫布
中国語,22,4,防音パネル,隔音板
中国語,22,5,朝顔材,炉腹材料、防护棚
中国語,22,6,架空線,架空电线
中国語,22,7,幅木（仮設足場）,挡板（脚手架）
中国語,22,8,単管,单管
中国語,22,9,脚立,双面梯
中国語,22,10,作業半径,工作半径
中国語,23,11,仮ボルト,临时螺栓
中国語,23,12,手直し,修改
中国語,23,13,面一,拉平
中国語,23,14,点検事項,检查项目
中国語,23,15,積載荷重,装载负荷
中国語,23,16,すき間,间隙、缝隙
中国語,23,17,通りを見る,看中心点排齐、 对齐通端
中国語,23,18,組立,组装、搭建
中国語,23,19,地組,预先装配
中国語,23,20,天端,顶端
中国語,24,21,玉掛け,挂吊钩
中国語,24,22,合図,打信号
中国語,24,23,定格荷重,额定负载
中国語,24,24,たち,垂直度
中国語,24,25,職長,工长
中国語,25,1,安全カバー,安全罩
中国語,25,2,安全帯,安全带
中国語,25,3,インサート,插入、插件
中国語,25,4,スペーサ,隔板
中国語,25,5,鉄筋,钢筋
中国語,25,6,電工ドラム（ドラム）,电钻
中国語,25,7,電動丸のこ（電のこ）,电动圆锯机、电动圆盘 锯
中国語,25,8,パッキン,垫圈
中国語,25,9,小バール,小铁挺
中国語,25,10,大バール,大铁挺
中国語,26,11,化粧合板,装饰合板
中国語,26,12,普通合板,普通合板
中国語,26,13,スタイロフォーム,泡沫塑料隔热板
中国語,26,14,面木,三角木条
中国語,26,15,バイブレーター,振动器
中国語,26,16,剥離剤,剥离剂
中国語,26,17,けこみ板,踏步踢面板
中国語,26,18,目地棒,接缝棒
中国語,26,19,コンクリート,混凝土
中国語,26,20,コンベックス,钢卷尺
中国語,27,21,作業用手袋,工作手套
中国語,27,22,差金,角尺
中国語,27,23,水平器,水平仪
中国語,27,24,墨さし,墨壶
中国語,27,25,墨つぼ,墨斗
中国語,28,1,丸セパレーター （丸セパ）,分离器、圆隔板
中国語,28,2,天端釘,顶端钉子
中国語,28,3,ケレン,表面处理、去掉多余的 混凝土
中国語,28,4,型枠支保工,模板支架
中国語,28,5,基礎型枠 （メタルフォーム）,基础模板
中国語,28,6,釘仕舞い,收拾钉子
中国語,28,7,スラブ天端,板顶端、板顶
中国語,28,8,高さ（タッパ）,高度
中国語,28,9,建込み,搭建
中国語,28,10,通り,通端
中国語,29,11,蹴上げ,踏级高度
中国語,29,12,蹴込み,踏级垂直挡板
中国語,29,13,工具の手入れ,维护工具
中国語,29,14,下げ振り,垂标坠
中国語,29,15,地墨,墨
中国語,29,16,捨てコンクリート,混凝土制模板
中国語,29,17,はね出し,踏板等成悬臂部位
中国語,29,18,はらみ,包藏、凸起、弯曲
中国語,29,19,前面,前面、正面
中国語,29,20,養生,保养、固化
中国語,30,21,レベル,水平
中国語,30,22,割付,分配、分割
中国語,30,23,埋め込み金物,预埋五金
中国語,30,24,解体する（バラス）,解体
中国語,30,25,かぶり寸法,涂面白变尺寸、保护层 尺寸
中国語,31,1,異形棒鋼,异形条钢
中国語,31,2,結束線,多股胶合线、绑扎丝、 捆结线
中国語,31,3,結束工具,捆扎工具
中国語,31,4,鉄筋切断機,钢筋切割机
中国語,31,5,鉄筋曲げ加工機,钢筋弯曲加工机
中国語,31,6,フック,钩
中国語,31,7,保護帽（ヘルメット）,安全帽
中国語,31,8,アンカー,锚固
中国語,31,9,加工場,加工场地
中国語,31,10,スペーサ―,横梁肋支架、 调距模板
中国語,32,11,ドーナツ,间隔圈
中国語,32,12,加工配筋図,加工配筋图
中国語,32,13,配筋詳細図,配筋详细图
中国語,32,14,開口補強筋,开口加固筋
中国語,32,15,幅止め筋,宽固定筋
中国語,32,16,差筋,插筋
中国語,32,17,柱主筋,柱主筋
中国語,32,18,柱配筋,柱配筋
中国語,32,19,スラブ筋,板筋
中国語,32,20,ベース筋,基础筋
中国語,33,21,帯筋（フープ）,柱箍筋
中国語,33,22,下端筋,下端筋
中国語,33,23,上端筋,上端筋
中国語,33,24,主筋,主筋
中国語,33,25,あばら筋,梁箍筋
中国語,34,1,はかま筋,裤裙筋
中国語,34,2,縦筋,竖筋
中国語,34,3,下筋,下筋
中国語,34,4,横筋,横筋
中国語,34,5,腹筋,腹筋
中国語,34,6,配力筋,受力筋
中国語,34,7,上筋,上筋
中国語,34,8,スパイラル筋,螺纹钢筋
中国語,34,9,鉄筋径,钢筋直径
中国語,34,10,かぶり厚さ,保护层厚度
中国語,35,11,角度,角度
中国語,35,12,シングル,单
中国語,35,13,ダブル,双
中国語,35,14,千鳥結束,交错连结
中国語,35,15,切断寸法,切割尺寸
中国語,35,16,加工寸法,加工尺寸
中国語,35,17,重ね継手,搭接焊接头
中国語,35,18,圧接継手,加压焊接接头
中国語,35,19,開口部,开口部
中国語,35,20,溶接金網,焊接钢丝网
中国語,36,21,搬出,搬出
