ファイル名,ページ,番号,日本語,翻訳
ベトナム語_pdfplumber_抽出_最終版.csv,6,8.0,始業時間,Giờ bắt đầu làm việc
ベトナム語_pdfplumber_抽出_最終版.csv,6,9.0,終業時間,Giờ kết thúc làm việc
ベトナム語_pdfplumber_抽出_最終版.csv,6,10.0,指導員,Người hướng dẫn
ベトナム語_pdfplumber_抽出_最終版.csv,6,11.0,生活指導員,Người hướng dẫn đời sống
ベトナム語_pdfplumber_抽出_最終版.csv,6,12.0,担当者,Người phụ trách
ベトナム語_pdfplumber_抽出_最終版.csv,6,13.0,スイッチ入れるな,Không được bật công tắc
ベトナム語_pdfplumber_抽出_最終版.csv,6,14.0,スイッチ切るな,Không được tắt công tắc
ベトナム語_pdfplumber_抽出_最終版.csv,6,15.0,使用禁止,Cấm sử dụng
ベトナム語_pdfplumber_抽出_最終版.csv,7,1.0,5S,5S
ベトナム語_pdfplumber_抽出_最終版.csv,7,2.0,整理,Seiri (sàng lọc)
ベトナム語_pdfplumber_抽出_最終版.csv,7,3.0,整頓,Seiton (sắp xếp)
ベトナム語_pdfplumber_抽出_最終版.csv,7,5.0,清潔,Seiketsu (săn sóc)
ベトナム語_pdfplumber_抽出_最終版.csv,7,6.0,しつけ,Shitsuke (sẵn sàng)
ベトナム語_pdfplumber_抽出_最終版.csv,8,7.0,掃除（する）,(động từ) Làm vệ sinh
ベトナム語_pdfplumber_抽出_最終版.csv,8,8.0,片づける,Dọn dẹp
ベトナム語_pdfplumber_抽出_最終版.csv,49,1.0,片づける,Dọn dẹp
ベトナム語_pdfplumber_抽出_最終版.csv,8,9.0,捨てる,Vứt bỏ
ベトナム語_pdfplumber_抽出_最終版.csv,49,2.0,捨てる,"Vứt, bỏ"
ベトナム語_pdfplumber_抽出_最終版.csv,8,10.0,汚い,Bẩn
ベトナム語_pdfplumber_抽出_最終版.csv,8,11.0,汚れる,Bị bẩn
ベトナム語_pdfplumber_抽出_最終版.csv,8,12.0,分別（する）,(động từ) Phân loại
ベトナム語_pdfplumber_抽出_最終版.csv,8,13.0,燃えないごみ,Rác không cháy được
ベトナム語_pdfplumber_抽出_最終版.csv,8,14.0,燃えるごみ,Rác cháy được
ベトナム語_pdfplumber_抽出_最終版.csv,8,15.0,挟まれる,Bị kẹp vào
ベトナム語_pdfplumber_抽出_最終版.csv,8,16.0,巻き込まれる,Bị cuốn vào
ベトナム語_pdfplumber_抽出_最終版.csv,8,17.0,やけど（する）,(động từ) Bị bỏng
ベトナム語_pdfplumber_抽出_最終版.csv,8,18.0,落ちる,Bị rơi
ベトナム語_pdfplumber_抽出_最終版.csv,8,19.0,すべる,Trơn
ベトナム語_pdfplumber_抽出_最終版.csv,9,20.0,転ぶ,Bị ngã
ベトナム語_pdfplumber_抽出_最終版.csv,9,21.0,濡れる,Bị ướt
ベトナム語_pdfplumber_抽出_最終版.csv,9,22.0,衛生,Vệ sinh
ベトナム語_pdfplumber_抽出_最終版.csv,9,23.0,避難（する）,"(động từ) Sơ tán, lánh nạn"
ベトナム語_pdfplumber_抽出_最終版.csv,9,24.0,救急車,Xe cứu thương
ベトナム語_pdfplumber_抽出_最終版.csv,9,25.0,災害,Thảm họa
ベトナム語_pdfplumber_抽出_最終版.csv,9,26.0,地震,Động đất
ベトナム語_pdfplumber_抽出_最終版.csv,9,27.0,もぐる,Chui xuống
ベトナム語_pdfplumber_抽出_最終版.csv,10,1.0,火気厳禁,Cấm lửa
ベトナム語_pdfplumber_抽出_最終版.csv,19,3.0,火気厳禁,Cấm lửa
ベトナム語_pdfplumber_抽出_最終版.csv,10,2.0,開放厳禁,Cấm mở
ベトナム語_pdfplumber_抽出_最終版.csv,10,3.0,標識,Bảng hiệu
ベトナム語_pdfplumber_抽出_最終版.csv,10,4.0,気をつける,"Chú ý, cẩn thận"
ベトナム語_pdfplumber_抽出_最終版.csv,10,5.0,持ち込む,Mang vào
ベトナム語_pdfplumber_抽出_最終版.csv,10,6.0,防ぐ,Phòng ngừa
ベトナム語_pdfplumber_抽出_最終版.csv,10,7.0,火,Lửa
ベトナム語_pdfplumber_抽出_最終版.csv,10,8.0,煙,Khói
ベトナム語_pdfplumber_抽出_最終版.csv,10,9.0,消火,Chữa cháy
ベトナム語_pdfplumber_抽出_最終版.csv,10,10.0,消火器,Bình chữa cháy
ベトナム語_pdfplumber_抽出_最終版.csv,20,11.0,消火器,Bình chữa cháy
ベトナム語_pdfplumber_抽出_最終版.csv,10,11.0,非常ベル,Chuông khẩn cấp
ベトナム語_pdfplumber_抽出_最終版.csv,10,12.0,火災報知機,Thiết bị báo cháy
ベトナム語_pdfplumber_抽出_最終版.csv,10,13.0,逃げる,Trốn chạy
ベトナム語_pdfplumber_抽出_最終版.csv,10,14.0,現場,Hiện trường
ベトナム語_pdfplumber_抽出_最終版.csv,10,15.0,作業,Thao tác
ベトナム語_pdfplumber_抽出_最終版.csv,10,16.0,ミーティング,Cuộc họp
ベトナム語_pdfplumber_抽出_最終版.csv,10,17.0,研修（する）,(động từ) Đào tạo
ベトナム語_pdfplumber_抽出_最終版.csv,11,18.0,実習（する）,(động từ) Thực tập
ベトナム語_pdfplumber_抽出_最終版.csv,11,19.0,あいさつ,Chào hỏi
ベトナム語_pdfplumber_抽出_最終版.csv,11,20.0,確認（する）,"(động từ) Kiểm tra, xác nhận"
ベトナム語_pdfplumber_抽出_最終版.csv,11,21.0,報告（する）,(động từ) Báo cáo
ベトナム語_pdfplumber_抽出_最終版.csv,11,22.0,連絡（する）,(động từ) Liên lạc
ベトナム語_pdfplumber_抽出_最終版.csv,11,23.0,相談（する）,(động từ) Thảo luận
ベトナム語_pdfplumber_抽出_最終版.csv,11,24.0,渡す,Đưa
ベトナム語_pdfplumber_抽出_最終版.csv,11,25.0,申請書,Đơn xin
ベトナム語_pdfplumber_抽出_最終版.csv,11,26.0,寝坊（する）,(động từ) Ngủ quên
ベトナム語_pdfplumber_抽出_最終版.csv,12,1.0,技能,Kỹ năng
ベトナム語_pdfplumber_抽出_最終版.csv,12,2.0,技能検定試験,Kỳ thi kiểm tra kỹ năng
ベトナム語_pdfplumber_抽出_最終版.csv,12,3.0,受検（する）,"(danh từ) Sự dự thi, thi"
ベトナム語_pdfplumber_抽出_最終版.csv,12,4.0,資格,Tư cách
ベトナム語_pdfplumber_抽出_最終版.csv,12,5.0,手当,Trợ cấp
ベトナム語_pdfplumber_抽出_最終版.csv,12,6.0,社員,Nhân viên công ty
ベトナム語_pdfplumber_抽出_最終版.csv,12,7.0,部長,Trưởng ban
ベトナム語_pdfplumber_抽出_最終版.csv,12,8.0,課長,Trưởng phòng
ベトナム語_pdfplumber_抽出_最終版.csv,12,9.0,更衣室,Phòng thay đồ
ベトナム語_pdfplumber_抽出_最終版.csv,12,10.0,台車,Xe đẩy
ベトナム語_pdfplumber_抽出_最終版.csv,12,11.0,床,Sàn
ベトナム語_pdfplumber_抽出_最終版.csv,12,12.0,出口,Cửa ra
ベトナム語_pdfplumber_抽出_最終版.csv,12,13.0,電気,Điện
ベトナム語_pdfplumber_抽出_最終版.csv,12,14.0,警報音,Âm thanh báo động
ベトナム語_pdfplumber_抽出_最終版.csv,12,15.0,コンセント,Ổ cắm
ベトナム語_pdfplumber_抽出_最終版.csv,12,16.0,作業場,Nơi làm việc
ベトナム語_pdfplumber_抽出_最終版.csv,12,17.0,作業台,Bàn thao tác
ベトナム語_pdfplumber_抽出_最終版.csv,12,18.0,工事現場,Công trường
ベトナム語_pdfplumber_抽出_最終版.csv,12,19.0,職長,Tổ trưởng
ベトナム語_pdfplumber_抽出_最終版.csv,26,25.0,職長,Tổ trưởng
ベトナム語_pdfplumber_抽出_最終版.csv,12,20.0,作業責任者,Người phụ trách công việc
ベトナム語_pdfplumber_抽出_最終版.csv,13,1.0,禁止,Cấm
ベトナム語_pdfplumber_抽出_最終版.csv,13,2.0,表示板,Biển báo
ベトナム語_pdfplumber_抽出_最終版.csv,13,3.0,禁止事項,Những điều bị cấm
ベトナム語_pdfplumber_抽出_最終版.csv,13,4.0,避難訓練,Huấn luyện lánh nạn /sơ tán
ベトナム語_pdfplumber_抽出_最終版.csv,13,9.0,挟まる,"Kẹp, kẹp vào"
ベトナム語_pdfplumber_抽出_最終版.csv,13,10.0,足元,Dưới chân
ベトナム語_pdfplumber_抽出_最終版.csv,13,12.0,後片付け,Dọn dẹp
ベトナム語_pdfplumber_抽出_最終版.csv,14,13.0,救急箱,Hộp sơ cứu
ベトナム語_pdfplumber_抽出_最終版.csv,14,14.0,絆創膏,Băng dán vết thương
ベトナム語_pdfplumber_抽出_最終版.csv,14,15.0,体調,Thể trạng
ベトナム語_pdfplumber_抽出_最終版.csv,14,16.0,血,Máu
