ファイル名,ページ,番号,日本語,翻訳
ベトナム語_pdfplumber_抽出_最終版.csv,28,15.0,バイブレーター,Đầm dùi bê tông
ベトナム語_pdfplumber_抽出_最終版.csv,28,16.0,剥離剤,"Chất chống dính ván khuô n, chất tách khuôn, chất th áo khuôn"
ベトナム語_pdfplumber_抽出_最終版.csv,28,17.0,けこみ板,Ván đứng (giữa 2 bậc thang)
ベトナム語_pdfplumber_抽出_最終版.csv,28,18.0,目地棒,"Thanh tạo rãnh, thanh nối, thanh liên kết"
ベトナム語_pdfplumber_抽出_最終版.csv,28,19.0,コンクリート,Bê tông
ベトナム語_pdfplumber_抽出_最終版.csv,28,20.0,コンベックス,Thước dây
ベトナム語_pdfplumber_抽出_最終版.csv,29,21.0,作業用手袋,Găng tay bảo hộ lao động
ベトナム語_pdfplumber_抽出_最終版.csv,29,22.0,差金,"Thước vuông, ê ke (của thợ mộc)"
ベトナム語_pdfplumber_抽出_最終版.csv,29,23.0,水平器,"Thước thủy, thước nivo, ống bọt nước"
ベトナム語_pdfplumber_抽出_最終版.csv,29,24.0,墨さし,Cọ châm mực làm dấu
ベトナム語_pdfplumber_抽出_最終版.csv,29,25.0,墨つぼ,Lọ mực (của thợ môc)
ベトナム語_pdfplumber_抽出_最終版.csv,30,2.0,天端釘,Đinh đóng mặt trên
ベトナム語_pdfplumber_抽出_最終版.csv,30,4.0,型枠支保工,Hệ chống đỡ ván khuôn
ベトナム語_pdfplumber_抽出_最終版.csv,30,6.0,釘仕舞い,Nhổ đinh khỏi gỗ phế liệu
ベトナム語_pdfplumber_抽出_最終版.csv,30,7.0,スラブ天端,Mặt trên bê tông
ベトナム語_pdfplumber_抽出_最終版.csv,30,8.0,高さ（タッパ）,Độ cao (còn gọi là Tappa)
ベトナム語_pdfplumber_抽出_最終版.csv,30,9.0,建込み,Lắp đặt theo chiều dọc
ベトナム語_pdfplumber_抽出_最終版.csv,30,10.0,通り,"Thẳng, Ngay ngắn"
ベトナム語_pdfplumber_抽出_最終版.csv,31,11.0,蹴上げ,Chiều cao một bậc thang
ベトナム語_pdfplumber_抽出_最終版.csv,31,12.0,蹴込み,Phần lõm vào theo chiều ngang của bậc thang trên v à bậc thang dưới
ベトナム語_pdfplumber_抽出_最終版.csv,31,13.0,工具の手入れ,Bảo dưỡng dụng cụ
ベトナム語_pdfplumber_抽出_最終版.csv,31,14.0,下げ振り,"Quả dọi, dây dọi"
ベトナム語_pdfplumber_抽出_最終版.csv,31,15.0,地墨,Đánh đấu
ベトナム語_pdfplumber_抽出_最終版.csv,31,16.0,捨てコンクリート,Bê tông lớp tạo phẳng
ベトナム語_pdfplumber_抽出_最終版.csv,31,17.0,はね出し,Nhô ra
ベトナム語_pdfplumber_抽出_最終版.csv,31,18.0,はらみ,Phình
ベトナム語_pdfplumber_抽出_最終版.csv,31,19.0,前面,Mặt trước
ベトナム語_pdfplumber_抽出_最終版.csv,31,20.0,養生,Dưỡng hộ
ベトナム語_pdfplumber_抽出_最終版.csv,32,21.0,レベル,Độ cân bằng
ベトナム語_pdfplumber_抽出_最終版.csv,32,22.0,割付,"Sự phân bổ, bố trí đều"
ベトナム語_pdfplumber_抽出_最終版.csv,32,23.0,埋め込み金物,Kim loại đặt trong bê tông
ベトナム語_pdfplumber_抽出_最終版.csv,32,24.0,解体する（バラス）,(danh từ) Sự tháo dỡ
ベトナム語_pdfplumber_抽出_最終版.csv,32,,解体する（バラス）,(động từ) Tháo dỡ
ベトナム語_pdfplumber_抽出_最終版.csv,32,25.0,かぶり寸法,Độ dày lớp bê tông bảo vệ cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,33,1.0,異形棒鋼,Cốt thép có gờ (cốt thép gai)
ベトナム語_pdfplumber_抽出_最終版.csv,33,2.0,結束線,Dây thép buộc
ベトナム語_pdfplumber_抽出_最終版.csv,33,3.0,結束工具,Móc buộc thép
ベトナム語_pdfplumber_抽出_最終版.csv,33,4.0,鉄筋切断機,Máy cắt thép
ベトナム語_pdfplumber_抽出_最終版.csv,33,5.0,鉄筋曲げ加工機,Máy uốn thép
ベトナム語_pdfplumber_抽出_最終版.csv,33,8.0,アンカー,Neo
ベトナム語_pdfplumber_抽出_最終版.csv,33,9.0,加工場,Khu vực gia công
ベトナム語_pdfplumber_抽出_最終版.csv,33,10.0,スペーサ―,Con kê
ベトナム語_pdfplumber_抽出_最終版.csv,34,11.0,ドーナツ,Con kê hình bánh xe
ベトナム語_pdfplumber_抽出_最終版.csv,34,12.0,加工配筋図,Bản vẽ bố trí cốt thép gia c ông
ベトナム語_pdfplumber_抽出_最終版.csv,34,13.0,配筋詳細図,Bản vẽ chi tiết bố trí cốt th ép
ベトナム語_pdfplumber_抽出_最終版.csv,34,14.0,開口補強筋,Cốt thép gia cường lỗ mở
ベトナム語_pdfplumber_抽出_最終版.csv,34,15.0,幅止め筋,Cốt thép đai ngắn nối hai thanh đối diện bụng dầm đ ể giữ khoảng cách chính x ác giữa 2 thanh
ベトナム語_pdfplumber_抽出_最終版.csv,34,16.0,差筋,Cốt thép chờ
ベトナム語_pdfplumber_抽出_最終版.csv,34,17.0,柱主筋,Cột chủ cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,34,18.0,柱配筋,Cột cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,34,19.0,スラブ筋,Cốt thép bản mặt
ベトナム語_pdfplumber_抽出_最終版.csv,34,20.0,ベース筋,"Cốt thép nền, móng"
ベトナム語_pdfplumber_抽出_最終版.csv,35,21.0,帯筋（フープ）,Cốt thép đai (dạng vòng tr òn)
ベトナム語_pdfplumber_抽出_最終版.csv,35,22.0,下端筋,Cốt thép bên dưới
ベトナム語_pdfplumber_抽出_最終版.csv,35,23.0,上端筋,Cốt thép bên trên
ベトナム語_pdfplumber_抽出_最終版.csv,35,24.0,主筋,Cốt thép chủ
ベトナム語_pdfplumber_抽出_最終版.csv,35,25.0,あばら筋,Cốt thép đai (dạng thanh)
ベトナム語_pdfplumber_抽出_最終版.csv,36,1.0,はかま筋,Cốt thép đặt xung quanh c ác cốt thép khác ở móng đ ể gia cố
ベトナム語_pdfplumber_抽出_最終版.csv,36,2.0,縦筋,Cốt thép dọc
ベトナム語_pdfplumber_抽出_最終版.csv,36,3.0,下筋,Cốt thép dưới
ベトナム語_pdfplumber_抽出_最終版.csv,36,4.0,横筋,Cốt thép ngang
ベトナム語_pdfplumber_抽出_最終版.csv,36,5.0,腹筋,Cốt thép cấu tạo bụng dầm
ベトナム語_pdfplumber_抽出_最終版.csv,36,6.0,配力筋,Cốt thép phân bố
ベトナム語_pdfplumber_抽出_最終版.csv,36,7.0,上筋,Cốt thép trên
ベトナム語_pdfplumber_抽出_最終版.csv,36,8.0,スパイラル筋,Cốt thép xoắn ốc
ベトナム語_pdfplumber_抽出_最終版.csv,36,9.0,鉄筋径,Đường kính cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,36,10.0,かぶり厚さ,Độ dày lớp bê tông bảo vệ cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,37,11.0,角度,Độ góc
ベトナム語_pdfplumber_抽出_最終版.csv,37,12.0,シングル,"Đơn, một"
ベトナム語_pdfplumber_抽出_最終版.csv,37,13.0,ダブル,"Đôi, hai"
ベトナム語_pdfplumber_抽出_最終版.csv,37,14.0,千鳥結束,Kết nối xen kẽ
ベトナム語_pdfplumber_抽出_最終版.csv,37,15.0,切断寸法,Kích thước cắt ngang
ベトナム語_pdfplumber_抽出_最終版.csv,37,16.0,加工寸法,Kích thước gia công
ベトナム語_pdfplumber_抽出_最終版.csv,37,17.0,重ね継手,"Liên kết chồng, mối nối chồng"
ベトナム語_pdfplumber_抽出_最終版.csv,37,18.0,圧接継手,"Liên kết hàn áp lực, mối nối hàn áp lực"
ベトナム語_pdfplumber_抽出_最終版.csv,37,19.0,開口部,"Lỗ mở, lỗ trống"
ベトナム語_pdfplumber_抽出_最終版.csv,37,20.0,溶接金網,Lưới cốt thép sợi hàn
ベトナム語_pdfplumber_抽出_最終版.csv,38,21.0,搬出,Vận chuyển ra
ベトナム語_pdfplumber_抽出_最終版.csv,38,22.0,搬入,Vận chuyển vào
ベトナム語_pdfplumber_抽出_最終版.csv,38,23.0,基礎,Móng
ベトナム語_pdfplumber_抽出_最終版.csv,38,24.0,機械式継手,"Liên kết cơ khí, mối nối cơ khí"
ベトナム語_pdfplumber_抽出_最終版.csv,38,25.0,配筋検査,Kiểm tra bố trí cốt thép
ベトナム語_pdfplumber_抽出_最終版.csv,39,1.0,トラクタ,Máy kéo
ベトナム語_pdfplumber_抽出_最終版.csv,39,2.0,ブルドーザ,Xe ủi
ベトナム語_pdfplumber_抽出_最終版.csv,39,3.0,トラクタショベル,Máy xúc
ベトナム語_pdfplumber_抽出_最終版.csv,39,4.0,ホイルローダ,Máy xúc lật bánh lốp
ベトナム語_pdfplumber_抽出_最終版.csv,39,5.0,ダンプトラック,Xe tải tự đổ
ベトナム語_pdfplumber_抽出_最終版.csv,39,6.0,油圧ショベル,Máy đào thủy lực
ベトナム語_pdfplumber_抽出_最終版.csv,39,7.0,バックホウ,Máy đào
ベトナム語_pdfplumber_抽出_最終版.csv,39,8.0,ローディングショベル,Máy đào gầu thuận
ベトナム語_pdfplumber_抽出_最終版.csv,39,9.0,ローラ,Xe lu
ベトナム語_pdfplumber_抽出_最終版.csv,39,10.0,バケット,Gầu
ベトナム語_pdfplumber_抽出_最終版.csv,40,11.0,ブーム,Cần chống
ベトナム語_pdfplumber_抽出_最終版.csv,40,12.0,アーム,Cần ngang
ベトナム語_pdfplumber_抽出_最終版.csv,40,13.0,ブレード（排土板）,Lưỡi ủi (còn gọi là Tấm gạt đất)
ベトナム語_pdfplumber_抽出_最終版.csv,40,14.0,タイヤ,Lốp xe
ベトナム語_pdfplumber_抽出_最終版.csv,40,15.0,クローラ,Bánh xích
ベトナム語_pdfplumber_抽出_最終版.csv,40,16.0,キー（鍵）,Chìa khóa
ベトナム語_pdfplumber_抽出_最終版.csv,40,17.0,作業装置 （アタッチメント）,Phụ tùng
ベトナム語_pdfplumber_抽出_最終版.csv,40,18.0,エンジン,Động cơ
ベトナム語_pdfplumber_抽出_最終版.csv,40,19.0,ディーゼルエンジン,Động cơ Diesel
ベトナム語_pdfplumber_抽出_最終版.csv,40,20.0,エンジンオイル,Dầu động cơ
ベトナム語_pdfplumber_抽出_最終版.csv,41,21.0,オルタネータ （充電発電機）,Máy phát điện xoay chiều (Máy sạc và phát điện)
ベトナム語_pdfplumber_抽出_最終版.csv,41,22.0,バッテリ,Ắc quy
ベトナム語_pdfplumber_抽出_最終版.csv,41,23.0,燃料,Nhiên liệu
ベトナム語_pdfplumber_抽出_最終版.csv,41,24.0,軽油,Dầu nhẹ
ベトナム語_pdfplumber_抽出_最終版.csv,41,25.0,ブレーキ,Phanh
ベトナム語_pdfplumber_抽出_最終版.csv,42,1.0,油圧シリンダ,Xylanh thủy lực
ベトナム語_pdfplumber_抽出_最終版.csv,42,2.0,油圧モータ,Mô tơ thủy lực
ベトナム語_pdfplumber_抽出_最終版.csv,42,3.0,油圧ポンプ,Bơm thủy lực
ベトナム語_pdfplumber_抽出_最終版.csv,42,4.0,水漏れ,Rò rỉ nước
ベトナム語_pdfplumber_抽出_最終版.csv,42,5.0,油漏れ,Rò rỉ dầu
ベトナム語_pdfplumber_抽出_最終版.csv,42,6.0,冷却水,Nước làm mát
ベトナム語_pdfplumber_抽出_最終版.csv,42,7.0,ブレーキ液,Chất lỏng phanh
ベトナム語_pdfplumber_抽出_最終版.csv,42,8.0,燃料タンク,Thùng nhiên liệu
ベトナム語_pdfplumber_抽出_最終版.csv,42,9.0,ファンベルト,Dây đai quạt
ベトナム語_pdfplumber_抽出_最終版.csv,42,10.0,空気圧,Áp suất khí
ベトナム語_pdfplumber_抽出_最終版.csv,42,11.0,クラッチ,Khớp li hợp
ベトナム語_pdfplumber_抽出_最終版.csv,42,12.0,急発進,Tiến đột ngột
ベトナム語_pdfplumber_抽出_最終版.csv,42,13.0,急ブレーキ,Phanh đột ngột
ベトナム語_pdfplumber_抽出_最終版.csv,43,14.0,アイドリング,"Chạy không tải, chạy cầm chừng"
ベトナム語_pdfplumber_抽出_最終版.csv,43,15.0,走行,Chạy
ベトナム語_pdfplumber_抽出_最終版.csv,43,16.0,旋回,Đi vòng tròn
ベトナム語_pdfplumber_抽出_最終版.csv,43,17.0,安全ロック,Khóa an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,43,18.0,安全支柱,Cột chống an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,43,19.0,補給（する）,(danh từ) Sự bổ sung
ベトナム語_pdfplumber_抽出_最終版.csv,43,,補給（する）,(động từ) Bổ sung
ベトナム語_pdfplumber_抽出_最終版.csv,43,20.0,駐車（する）,(danh từ) Sự đỗ xe
ベトナム語_pdfplumber_抽出_最終版.csv,43,,駐車（する）,(động từ) Đỗ xe
ベトナム語_pdfplumber_抽出_最終版.csv,43,21.0,歩行者,Người đi bộ
ベトナム語_pdfplumber_抽出_最終版.csv,43,22.0,車両,Xe
ベトナム語_pdfplumber_抽出_最終版.csv,43,23.0,死角,Góc chết
ベトナム語_pdfplumber_抽出_最終版.csv,43,24.0,斜面,Dốc
ベトナム語_pdfplumber_抽出_最終版.csv,43,25.0,転圧（する）,(danh từ) Sự đầm nén
ベトナム語_pdfplumber_抽出_最終版.csv,43,,転圧（する）,(động từ) Đầm nén
ベトナム語_pdfplumber_抽出_最終版.csv,44,1.0,接触（する）,"(danh từ) Sự va chạm, tiếp xúc"
ベトナム語_pdfplumber_抽出_最終版.csv,44,,接触（する）,"(động từ) Va chạm, tiếp xú c"
ベトナム語_pdfplumber_抽出_最終版.csv,44,2.0,作動（する）,(danh từ) Sự kích hoạt
ベトナム語_pdfplumber_抽出_最終版.csv,44,,作動（する）,(động từ) Kích hoạt
ベトナム語_pdfplumber_抽出_最終版.csv,44,3.0,整備（する）,(danh từ) Sự bảo dưỡng
ベトナム語_pdfplumber_抽出_最終版.csv,44,,整備（する）,(động từ) Bảo dưỡng
ベトナム語_pdfplumber_抽出_最終版.csv,44,4.0,点検（する）,(danh từ) Kiểm tra
ベトナム語_pdfplumber_抽出_最終版.csv,44,,点検（する）,(động từ) Kiểm tra
ベトナム語_pdfplumber_抽出_最終版.csv,44,5.0,動かす,Vận hành
ベトナム語_pdfplumber_抽出_最終版.csv,44,6.0,運転（する）,"(danh từ) Vận hành, lái"
ベトナム語_pdfplumber_抽出_最終版.csv,44,,運転（する）,"(động từ) Vận hành, lái"
ベトナム語_pdfplumber_抽出_最終版.csv,44,7.0,測る,Đo
ベトナム語_pdfplumber_抽出_最終版.csv,44,8.0,操作（する）,(danh từ) Sự điều khiển
ベトナム語_pdfplumber_抽出_最終版.csv,44,,操作（する）,(động từ) Điều khiển
ベトナム語_pdfplumber_抽出_最終版.csv,45,9.0,停止（する）,"(danh từ) Sự dừng, ngừng"
ベトナム語_pdfplumber_抽出_最終版.csv,45,,停止（する）,"(động từ) Dừng, ngừng"
ベトナム語_pdfplumber_抽出_最終版.csv,45,10.0,切る,"Tắt, cắt"
ベトナム語_pdfplumber_抽出_最終版.csv,45,11.0,回す,"Quay, xoay"
ベトナム語_pdfplumber_抽出_最終版.csv,45,12.0,押す,"Ấn, bấm"
ベトナム語_pdfplumber_抽出_最終版.csv,45,13.0,集める,"Tập trung, gom"
ベトナム語_pdfplumber_抽出_最終版.csv,45,14.0,触る,"Chạm, sờ"
ベトナム語_pdfplumber_抽出_最終版.csv,45,15.0,縛る,"Bó, buộc"
ベトナム語_pdfplumber_抽出_最終版.csv,45,16.0,揃える,Xếp đều
ベトナム語_pdfplumber_抽出_最終版.csv,45,17.0,結ぶ,"Nối, buộc"
ベトナム語_pdfplumber_抽出_最終版.csv,45,18.0,しゃがむ,Ngồi xổm
ベトナム語_pdfplumber_抽出_最終版.csv,45,19.0,調整（する）,(danh từ) Sự điều chỉnh
ベトナム語_pdfplumber_抽出_最終版.csv,45,,調整（する）,(động từ) Điều chỉnh
ベトナム語_pdfplumber_抽出_最終版.csv,45,20.0,閉じる,Đóng
ベトナム語_pdfplumber_抽出_最終版.csv,46,1.0,取り出す,Lấy ra
ベトナム語_pdfplumber_抽出_最終版.csv,46,2.0,戻す,Để lại chỗ cũ
ベトナム語_pdfplumber_抽出_最終版.csv,46,3.0,仕上げる,Hoàn thiện
ベトナム語_pdfplumber_抽出_最終版.csv,46,4.0,折れる,Gẫy
ベトナム語_pdfplumber_抽出_最終版.csv,46,5.0,欠ける,"Mẻ, khuyết, thiếu"
ベトナム語_pdfplumber_抽出_最終版.csv,46,6.0,近づく,Đến gần
ベトナム語_pdfplumber_抽出_最終版.csv,46,7.0,電源を入れる,Bật nguồn điện
ベトナム語_pdfplumber_抽出_最終版.csv,46,8.0,電源を落とす,Tắt nguồn điện
ベトナム語_pdfplumber_抽出_最終版.csv,46,9.0,スイッチを切る,Tắt công tắc
ベトナム語_pdfplumber_抽出_最終版.csv,46,10.0,固定（する）,(danh từ) Sự cố định
ベトナム語_pdfplumber_抽出_最終版.csv,46,,固定（する）,(động từ) Cố định
ベトナム語_pdfplumber_抽出_最終版.csv,46,11.0,ゆるめる,Nới lỏng
ベトナム語_pdfplumber_抽出_最終版.csv,46,12.0,伸ばす,"Cán, kéo dài"
ベトナム語_pdfplumber_抽出_最終版.csv,46,13.0,外す,"Tháo, gỡ ra"
ベトナム語_pdfplumber_抽出_最終版.csv,46,14.0,曲げる,Uốn
ベトナム語_pdfplumber_抽出_最終版.csv,46,15.0,出す,Lấy ra
ベトナム語_pdfplumber_抽出_最終版.csv,46,16.0,乾かす,"Làm khô, sấy khô"
ベトナム語_pdfplumber_抽出_最終版.csv,46,17.0,数える,"Chỉ bảo, dạy"
ベトナム語_pdfplumber_抽出_最終版.csv,46,18.0,運ぶ,Vận chuyển
ベトナム語_pdfplumber_抽出_最終版.csv,46,19.0,積む,"Xếp, chất"
ベトナム語_pdfplumber_抽出_最終版.csv,46,20.0,下ろす,"Dỡ xuống, hạ xuống"
ベトナム語_pdfplumber_抽出_最終版.csv,46,21.0,離れる,"Rời xa, tránh"
ベトナム語_pdfplumber_抽出_最終版.csv,47,1.0,位置,Vị trí
ベトナム語_pdfplumber_抽出_最終版.csv,47,2.0,寸法,Kích thước
ベトナム語_pdfplumber_抽出_最終版.csv,47,3.0,測定（する）,(danh từ) Sự đo đạc
ベトナム語_pdfplumber_抽出_最終版.csv,47,,測定（する）,(động từ) Đo đạc
ベトナム語_pdfplumber_抽出_最終版.csv,47,4.0,計測（する）,(danh từ) Sự đo lường
ベトナム語_pdfplumber_抽出_最終版.csv,47,,計測（する）,(động từ) Đo lường
ベトナム語_pdfplumber_抽出_最終版.csv,47,5.0,計測器,Máy đo lường
ベトナム語_pdfplumber_抽出_最終版.csv,47,6.0,温度,Nhiệt độ
ベトナム語_pdfplumber_抽出_最終版.csv,47,7.0,高さ,Chiều cao
ベトナム語_pdfplumber_抽出_最終版.csv,47,8.0,長さ,Chiều dài
ベトナム語_pdfplumber_抽出_最終版.csv,47,9.0,重さ,Cân nặng
ベトナム語_pdfplumber_抽出_最終版.csv,47,10.0,厚さ,Chiều dày
ベトナム語_pdfplumber_抽出_最終版.csv,47,11.0,硬さ,Độ cứng
ベトナム語_pdfplumber_抽出_最終版.csv,47,12.0,深さ,Độ sâu
ベトナム語_pdfplumber_抽出_最終版.csv,47,13.0,表面,Bề mặt
ベトナム語_pdfplumber_抽出_最終版.csv,47,14.0,すきま,Khe hở
ベトナム語_pdfplumber_抽出_最終版.csv,47,15.0,中心,"Trung tâm, chính giữa"
ベトナム語_pdfplumber_抽出_最終版.csv,48,16.0,値,Giá trị
ベトナム語_pdfplumber_抽出_最終版.csv,48,17.0,安定（する）,(danh từ) Sự ổn định
ベトナム語_pdfplumber_抽出_最終版.csv,48,,安定（する）,(động từ) Ổn định
ベトナム語_pdfplumber_抽出_最終版.csv,48,18.0,大きさ,Độ lớn
ベトナム語_pdfplumber_抽出_最終版.csv,48,19.0,数,Số lượng
ベトナム語_pdfplumber_抽出_最終版.csv,48,20.0,誤差,Sai số
ベトナム語_pdfplumber_抽出_最終版.csv,48,21.0,中,"Trung bình, vừa"
ベトナム語_pdfplumber_抽出_最終版.csv,48,22.0,反対,Ngược lại
ベトナム語_pdfplumber_抽出_最終版.csv,48,23.0,周り,Xung quanh
ベトナム語_pdfplumber_抽出_最終版.csv,48,24.0,尺,Thước
ベトナム語_pdfplumber_抽出_最終版.csv,48,25.0,青,Xanh
ベトナム語_pdfplumber_抽出_最終版.csv,48,26.0,赤,Đỏ
ベトナム語_pdfplumber_抽出_最終版.csv,48,27.0,白,Trắng
ベトナム語_pdfplumber_抽出_最終版.csv,48,28.0,黄色,Vàng
ベトナム語_pdfplumber_抽出_最終版.csv,49,3.0,掃く,Quét
ベトナム語_pdfplumber_抽出_最終版.csv,49,4.0,持ち上げる,Nhấc lên
ベトナム語_pdfplumber_抽出_最終版.csv,49,5.0,束ねる,"Buộc, bó"
ベトナム語_pdfplumber_抽出_最終版.csv,49,6.0,足をくじく,Bong gân chân
ベトナム語_pdfplumber_抽出_最終版.csv,50,1.0,一輪車,Xe cút kít
ベトナム語_pdfplumber_抽出_最終版.csv,50,2.0,支柱,Thanh giằng
ベトナム語_pdfplumber_抽出_最終版.csv,50,3.0,ショベル,Cái xẻng
ベトナム語_pdfplumber_抽出_最終版.csv,13,5.0,nan,(danh từ) Sự bị điện giật
ベトナム語_pdfplumber_抽出_最終版.csv,13,,nan,(động từ) Bị điện giật
ベトナム語_pdfplumber_抽出_最終版.csv,13,6.0,nan,(danh từ) Sự ngăn chặn
ベトナム語_pdfplumber_抽出_最終版.csv,13,,nan,(động từ) Ngăn chặn
ベトナム語_pdfplumber_抽出_最終版.csv,13,7.0,nan,(danh từ) Sự phòng ngừa
ベトナム語_pdfplumber_抽出_最終版.csv,13,,nan,(động từ) Phòng ngừa
ベトナム語_pdfplumber_抽出_最終版.csv,13,8.0,nan,"(danh từ) Sự ngã, đổ"
ベトナム語_pdfplumber_抽出_最終版.csv,13,,nan,"(động từ) Ngã, đổ"
ベトナム語_pdfplumber_抽出_最終版.csv,13,11.0,nan,"(danh từ) Sự không ổn đ ịnh, không vững"
ベトナム語_pdfplumber_抽出_最終版.csv,13,,nan,"(tính từ) Không ổn định, không vững"
ベトナム語_pdfplumber_抽出_最終版.csv,14,19.0,nan,"(danh từ) Sự nôn, ói"
ベトナム語_pdfplumber_抽出_最終版.csv,14,,nan,"(động từ) Nôn, ói"
ベトナム語_pdfplumber_抽出_最終版.csv,15,9.0,nan,"(danh từ) Sự rơi, ngã xuống"
ベトナム語_pdfplumber_抽出_最終版.csv,15,,nan,"(động từ) Rơi, ngã xuống"
ベトナム語_pdfplumber_抽出_最終版.csv,15,14.0,nan,(danh từ) Sự rơi xuống
ベトナム語_pdfplumber_抽出_最終版.csv,15,,nan,(động từ) Rơi xuống
ベトナム語_pdfplumber_抽出_最終版.csv,16,15.0,nan,(danh từ) Sự rơi (từ trên cao) xuống
ベトナム語_pdfplumber_抽出_最終版.csv,16,,nan,(động từ) Rơi (từ trên cao) xuống
ベトナム語_pdfplumber_抽出_最終版.csv,16,16.0,nan,"(danh từ) Sự kiểm tra, xác nhận"
ベトナム語_pdfplumber_抽出_最終版.csv,16,,nan,"(động từ) Kiểm tra, xác nhận"
ベトナム語_pdfplumber_抽出_最終版.csv,18,20.0,nan,(danh từ) Sự chuẩn bị
ベトナム語_pdfplumber_抽出_最終版.csv,30,1.0,nan,Thiết bị phân ly
ベトナム語_pdfplumber_抽出_最終版.csv,30,3.0,nan,"Làm sạch, phẳng, nhẵn bề mặt, Chà nhám"
ベトナム語_pdfplumber_抽出_最終版.csv,30,5.0,nan,Ván khuôn móng (Ván khu ôn kim loại)
