行ID,ファイル名,言語,ページ,番号,日本語,翻訳
73,英語_pdfplumber_抽出_最終版.csv,英語,6,14.0,スイッチ切るな,Do not switch off.
74,英語_pdfplumber_抽出_最終版.csv,英語,6,15.0,使用禁止,Do not use.
75,英語_pdfplumber_抽出_最終版.csv,英語,7,1.0,5S,5S
76,英語_pdfplumber_抽出_最終版.csv,英語,7,2.0,整理,Seiri (Sorting)
77,英語_pdfplumber_抽出_最終版.csv,英語,7,3.0,整頓,Seiton (Set in order)
78,英語_pdfplumber_抽出_最終版.csv,英語,7,4.0,清掃,Seisou (Shine)
79,英語_pdfplumber_抽出_最終版.csv,英語,7,5.0,清潔,Seiketsu (standardize)
80,英語_pdfplumber_抽出_最終版.csv,英語,7,6.0,しつけ,Shitsuke (Sustain)
81,英語_pdfplumber_抽出_最終版.csv,英語,7,7.0,掃除（する）,Cleaning (to clean)
82,英語_pdfplumber_抽出_最終版.csv,英語,8,8.0,片づける,To tidy up
83,英語_pdfplumber_抽出_最終版.csv,英語,8,9.0,捨てる,To throw away
84,英語_pdfplumber_抽出_最終版.csv,英語,8,10.0,汚い,Dirty
85,英語_pdfplumber_抽出_最終版.csv,英語,8,11.0,汚れる,To get dirty
86,英語_pdfplumber_抽出_最終版.csv,英語,8,12.0,分別（する）,To sort waste
87,英語_pdfplumber_抽出_最終版.csv,英語,8,13.0,燃えないごみ,Nonburnable waste
88,英語_pdfplumber_抽出_最終版.csv,英語,8,14.0,燃えるごみ,Burnable waste
89,英語_pdfplumber_抽出_最終版.csv,英語,8,15.0,挟まれる,To get sandwiched in between
90,英語_pdfplumber_抽出_最終版.csv,英語,8,16.0,巻き込まれる,To get caught in
91,英語_pdfplumber_抽出_最終版.csv,英語,8,17.0,やけど（する）,Burn (to get burned)
92,英語_pdfplumber_抽出_最終版.csv,英語,8,18.0,落ちる,To fall
93,英語_pdfplumber_抽出_最終版.csv,英語,8,19.0,すべる,To slip
94,英語_pdfplumber_抽出_最終版.csv,英語,9,20.0,転ぶ,To fall; stumble
95,英語_pdfplumber_抽出_最終版.csv,英語,9,21.0,濡れる,To get wet
96,英語_pdfplumber_抽出_最終版.csv,英語,9,22.0,衛生,Sanitation
97,英語_pdfplumber_抽出_最終版.csv,英語,9,23.0,避難（する）,Evacuation (to evacuate)
98,英語_pdfplumber_抽出_最終版.csv,英語,9,24.0,救急車,Ambulance
99,英語_pdfplumber_抽出_最終版.csv,英語,9,25.0,災害,Disaster
100,英語_pdfplumber_抽出_最終版.csv,英語,9,26.0,地震,Earthquake
101,英語_pdfplumber_抽出_最終版.csv,英語,9,27.0,もぐる,To hide; dive
102,英語_pdfplumber_抽出_最終版.csv,英語,10,1.0,火気厳禁,No fire
103,英語_pdfplumber_抽出_最終版.csv,英語,10,2.0,開放厳禁,Keep closed.
104,英語_pdfplumber_抽出_最終版.csv,英語,10,3.0,標識,Sign
105,英語_pdfplumber_抽出_最終版.csv,英語,10,4.0,気をつける,To pay attention
106,英語_pdfplumber_抽出_最終版.csv,英語,10,5.0,持ち込む,To bring in
107,英語_pdfplumber_抽出_最終版.csv,英語,10,6.0,防ぐ,To prevent
108,英語_pdfplumber_抽出_最終版.csv,英語,10,7.0,火,Fire
109,英語_pdfplumber_抽出_最終版.csv,英語,10,8.0,煙,Smoke
110,英語_pdfplumber_抽出_最終版.csv,英語,10,9.0,消火,Fire extinguishing
111,英語_pdfplumber_抽出_最終版.csv,英語,10,10.0,消火器,Fire extinguisher
112,英語_pdfplumber_抽出_最終版.csv,英語,10,11.0,非常ベル,Emergency alarm
113,英語_pdfplumber_抽出_最終版.csv,英語,10,12.0,火災報知機,Fire alarm
114,英語_pdfplumber_抽出_最終版.csv,英語,10,13.0,逃げる,To escape
115,英語_pdfplumber_抽出_最終版.csv,英語,10,14.0,現場,Site; shop floor
116,英語_pdfplumber_抽出_最終版.csv,英語,10,15.0,作業,Work
117,英語_pdfplumber_抽出_最終版.csv,英語,10,16.0,ミーティング,Meeting
118,英語_pdfplumber_抽出_最終版.csv,英語,10,17.0,研修（する）,Training (to train/be trained)
119,英語_pdfplumber_抽出_最終版.csv,英語,11,18.0,実習（する）,Practical training (to give/receive practical training)
120,英語_pdfplumber_抽出_最終版.csv,英語,11,19.0,あいさつ,Greeting
