行ID,ファイル名,言語,ページ,番号,日本語,翻訳
1217,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,6.0,保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់)
1218,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,7.0,保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់
1219,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,8.0,あごひも,ស្សែរកវ៉ាត់ចងាា រ
1220,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,9.0,ボタン,មេវ
1221,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,10.0,ポケット,មោម ៉ៅ
1222,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,11.0,保護メガネ,ស្វនតាការពារ
1223,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,12.0,マスク,ម៉ៅ ស់
1224,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,13.0,耳栓,ឆ្ន ុករតមចៀក
1225,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,14.0,安全靴,ស្សែកម ើងសុវតថភាិ ព
1226,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,15,15.0,墜落制止用器具（安全 帯）,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ាត់ សុវតថភាិ ព)
1227,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,16.0,業務,កិចចការ
1228,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,17.0,時間厳守,របកាន់មពលមវលាខាា ប់សជ នួ
1229,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,18.0,予定,គមរមង
1230,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,19.0,日付,កាលបរមិចេទ
1231,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,20.0,準備（する）,(ការ)មរតៀ្
1232,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,21.0,会議,ការរប ុំ
1233,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,22.0,朝礼,ការរប ុំមពលរពឹក
1234,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,23.0,報告書,មសចកតរាី យការណ៏
1235,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,24.0,マニュアル,មសៀវមៅស្ណនំ
1236,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,25.0,作業手順書,ឯកោរនីតិវ្ិ ីការងារ
1237,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,16,26.0,調子,ចលនកន ុងសល នួ
1238,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,1.0,立入禁止,ហាមចូល
1239,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,2.0,禁煙,ហាមជក់បារី
1240,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,3.0,火気厳禁,ហាមបង្កា ត់ភ្លើង
1241,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,4.0,駐車禁止,ហាមចត
1242,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,5.0,足もと注意,ប្បយ័តនប ៉ះភជើង
1243,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,6.0,開口部注意,ប្បយ័តនផ្ននកភបើកចំហ
1244,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,7.0,感電注意,ប្បយ័តនឆក់
1245,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,8.0,堕落注意,ប្បយ័តនធ្លល ក់
1246,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,9.0,頭上注意,ប្បយ័តនភលើកាល
1247,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,17,10.0,警報設備,កផ្លលងចុចប្បកាសអាសលន
1248,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,11.0,消火器,បំពង់​ពលលត់​អគ្គិ្័យ
1249,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,12.0,AED設置場所,ទីតងំ បំពាកA់ ED
1250,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,13.0,保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់)
1251,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,14.0,安全帯使用,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព
1252,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,15.0,昇降階段,ជភ្តើរភ ើងចុ៉ះ
1253,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,16.0,休憩所,កផ្លលងសប្ាក
1254,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,17.0,最大積載荷重,សមតថភាពនទកុ អតិបរា
1255,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,18.0,喫煙所,កផ្លលងជក់បារី
1256,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,19.0,整理整頓,ភរៀបចំ សណ្តត ប់ធ្លន ប់
1257,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,18,20.0,安全通路,នល វូ សុវតថិភាព
1258,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,1.0,三連クランプ,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645)
1259,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,2.0,ベルトコンベア （ベルコン）,ែខ(cid:717)បន(cid:635)ះយន(cid:625)
1260,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,3.0,かけや,ញញ(cid:819)រេឈ(cid:822)
1261,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,4.0,ランマ,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី
1262,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,5.0,自在クランプ,ដង(cid:544)(cid:814)ំេសរ(cid:801)
1263,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,6.0,キャッチクランプ,ដង(cid:544)(cid:814)ំ(cid:564)ប់
1264,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,7.0,吊り上げ用クランプ,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ
1265,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,8.0,直交クランプ,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់
1266,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,9.0,フック,ទំពក់
1267,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,19,10.0,ストレートシャックル,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់
1268,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,11.0,滑車,ឧបករណ៏រ(cid:843)ក
1269,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,12.0,クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ច
1270,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,13.0,移動式クレーン,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត
1271,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,14.0,介しゃくロープ,ែខ(cid:717)ពួរជំនួយ
1272,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,15.0,昇降階段,(cid:535)ំជេណ(cid:625)(cid:822)រេឡ(cid:822)ងចុះ
1273,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,16.0,筋かい止めピン,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ
1274,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,17.0,脚柱ジョイント,តំណេជ(cid:822)ង
1275,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,18.0,連結ピン,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់
1276,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,19.0,ジョイント金具,ែដកតំណ
1277,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,20.0,レバーブロック,ប(cid:694)(cid:814)ក(cid:676)នដង
1278,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,20,21.0,電動のこ（丸のこ）,(cid:676)៉សុីនរ(cid:622)រ
1279,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,21,22.0,モンキースパナ,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង
1280,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,21,23.0,親綱支柱,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព
1281,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,21,24.0,ブラケット,ែកង(cid:688)ទ
1282,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,21,25.0,梯子,ជេណ(cid:625)(cid:822)រ(cid:598)ក់
1283,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,1.0,親綱,ខ្សែពួរមេ
1284,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,2.0,建枠（ビティ）,គំរបឈ្នន ន់(ប ៊ី្ី)
1285,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,3.0,メッシュシート,ក្កណាត់សំណាញ់
1286,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,4.0,防音パネル,ផ្ា ងំ ប់សមេលង
1287,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,5.0,朝顔材,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ
1288,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,6.0,架空線,ខ្សែមលើ
1289,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,7.0,幅木（仮設足場）,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន)
1290,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,8.0,単管,បំពង់ឯក
1291,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,22,9.0,脚立,ជមណតើរមកាង
1292,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,10.0,作業半径,កាក្ំ បតិបតតិការងារ
1293,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,11.0,仮ボルト,បូ ុ ងបមណាត ះោសនន
1294,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,12.0,手直し,ខ្កម ើងវញិ
1295,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,13.0,面一,មោយនផាទងំ ពីរមសមើរន
1296,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,14.0,点検事項,ក្បការក្តួតពិនិតយ
1297,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,15.0,積載荷重,េងន់ចំណុ ះដ្ឋក់
1298,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,16.0,すき間,ចមន្ទល ះ
1299,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,17.0,通りを見る,ពិនិតយផល វូ ថ្នល់
1300,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,18.0,組立,តមេលើង
1301,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,23,19.0,地組,ការផ្ គំេូលដ្ឋា ន
1302,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,20.0,天端,ខ្ផនកខ្ទងមលើននសំណង់
1303,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,21.0,玉掛け,ចំណងTamagake
1304,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,22.0,合図,សញ្ញា
1305,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,23.0,定格荷重,េងន់តេខ្ទន ត
1306,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,24.0,たち,បញ្ឈរ
1307,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,24,25.0,職長,មេការ
1308,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,1.0,安全カバー,គម្របសុវត្ថិភាព
1309,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,2.0,安全帯,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព
1310,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,3.0,インサート,បញ្ច លូ
1311,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,4.0,スペーサ,ឧបករណ៏រកាចស្ែ ោះ
1312,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,5.0,鉄筋,សរសសផ្ ក
1313,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,6.0,電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ )
1314,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,7.0,電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ )
1315,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,8.0,パッキン,ថ្នា បំ ិទ ិត្
1316,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,9.0,小バール,ផ្ ករស់ត្ូច
1317,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,25,10.0,大バール,ផ្ ករស់ធំ
1318,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,11.0,化粧合板,កាា បនទោះត្ុបផ្ត្ង
1319,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,12.0,普通合板,កាា បនាោះធរមតា
1320,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,13.0,スタイロフォーム,បនទោះសនា
1321,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,14.0,面木,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ
1322,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,15.0,バイブレーター,ម៉ា សុ៊ីនរំញ៉ារ័
1323,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,16.0,剥離剤,ថ្នា សំ ំណក
1324,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,17.0,けこみ板,កាា បញ្ឈរ
1325,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,18.0,目地棒,ំបូងោក់កាច់ម្ ងុ
1326,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,19.0,コンクリート,សបត្ុង
1327,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,26,20.0,コンベックス,ឧបករណ៏វាស់ ផ្វង
1328,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,27,21.0,作業用手袋,សម្នរស ការង្ករ
1329,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,27,22.0,差金,ផ្ កបញ្ច លូ
1330,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,27,23.0,水平器,ផ្រ៉ាម្ត្សទង់
1331,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,27,24.0,墨さし,បិចសធវើព៊ីឬសែ៊ី
1332,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,27,25.0,墨つぼ,ប្ទ ត្់ ផ្ខ្ែ
1333,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,1.0,丸セパレーター （丸セパ）,ឧបករណ៏បំ បបករបូ រាងមូល (ម៉ា រ ៉ុសេប៉ា )
1334,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,2.0,天端釘,បែកសោលបនែកខាងសលើនៃ េំណង់
1335,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,3.0,ケレン,ការេំសលៀង
1336,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,4.0,型枠支保工,េ ៉ុមេរមប់ចាក់សបត៉ុង
1337,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,5.0,基礎型枠 （メタルフォーム）,េ ៉ុមរ្រោះ(សមតាលហ្វម)
1338,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,6.0,釘仕舞い,េំរលួ បែកសោល
1339,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,7.0,スラブ天端,រកឡាបនែកខាងសលើនៃេំណង់
1340,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,8.0,高さ（タッパ）,កំពេ់
1341,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,28,9.0,建込み,សលើកយួរសហ្ើយោក់
1342,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,10.0,通り,នល វូ លំ
1343,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,11.0,蹴上げ,កំពេ់ជំហាៃកាជំ សណាើរ
1344,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,12.0,蹴込み,បនែកខាងកន គងសៅកាំជសណាើរ
1345,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,13.0,工具の手入れ,សរៀបេំោតឧបករណ៏
1346,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,14.0,下げ振り,ឧបករណ៏វាេ់បញ្ឈររតង់
1347,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,15.0,地墨,សាែ មេញ្ជា កំណត់រីតាងំ
1348,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,16.0,捨てコンクリート,ចាក់សបត៉ុងសេាើង(សបត៉ុង សចាល)
1349,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,17.0,はね出し,ការសចញកាា ពបី សគោ ល
1350,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,29,18.0,はらみ,ភ្ជពសប៉ា ងច៉ុោះ
1351,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,19.0,前面,ននៃខាងម៉ុខ
1352,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,20.0,養生,រ៉ុុំព័រធ
1353,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,21.0,レベル,កំពេ់
1354,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,22.0,割付,បបងបចក
1355,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,23.0,埋め込み金物,ឧបករណ៏ បែកបងោប់
1356,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,24.0,解体する（バラス）,ការបំ បបក
1357,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,30,25.0,かぶり寸法,ករមេ់រ្ប
1358,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,1.0,異形棒鋼,ឧបករណ៏ពង្រឹរបបតុរ របូ រារពិបេេ
1359,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,2.0,結束線,ដសែរតឹ ចំណរ
1360,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,3.0,結束工具,ឧបករណ៏រតឹ ចរ
1361,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,4.0,鉄筋切断機,ម េុ៊ីនកាត់េរសេដែក
1362,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,5.0,鉄筋曲げ加工機,ម េុ៊ីនពត់េរសេដែក
1363,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,6.0,フック,េំពក់
1364,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,7.0,保護帽（ヘルメット）,ម្ួកការពារ
1365,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,8.0,アンカー,ដែកយុថាា
1366,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,9.0,加工場,កដនលរដកសនែ
1367,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,31,10.0,スペーサ―,ឧបករណ៏រកាចប្ល ះ
1368,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,11.0,ドーナツ,ឧបករណ៏រកាចប្ល ះរារ ជាររវរ់(ែូណាត់)
1369,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,12.0,加工配筋図,បលរ់ោក់េសេដែកដកសនែ
1370,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,13.0,配筋詳細図,បលរ់លំអិតោក់េរសេដែក
1371,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,14.0,開口補強筋,េរសេដែកពង្រឹរដនែក បបើកចំ រ
1372,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,15.0,幅止め筋,េរសេដែកពង្រឹរ
1373,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,16.0,差筋,េរសេដែកចប្ល ះេំណរ់
1374,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,17.0,柱主筋,េរសេដែកេេរបម្
1375,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,18.0,柱配筋,ោក់េរសេដែកកន គរេេរ
1376,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,19.0,スラブ筋,េរសេង្កឡា
1377,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,32,20.0,ベース筋,េរសេង្គឹះ
1378,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,33,21.0,帯筋（フープ）,េរសេដែកេប់េល់ការ ដបកបបតុរេេរ( វឺប ព)ុ
1379,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,33,22.0,下端筋,េរសេខារបង្កាម្ខារចុរ
1380,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,33,23.0,上端筋,េរសេខារចុរខារបលើ
1381,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,33,24.0,主筋,េរសេបម្
1382,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,33,25.0,あばら筋,េរសេដែកលកាណ:នអឹរជំនឺ
1383,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,1.0,はかま筋,សរសសដែកលកខណ:កន្រ្តក
1384,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,2.0,縦筋,សរសសដែកបញ្ឈរ
1385,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,3.0,下筋,សរសសដែកខាងឡន្កាម
1386,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,4.0,横筋,សរសសដែកឡផតក
1387,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,5.0,腹筋,សរសសដែកដាក់ទទឹង
1388,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,6.0,配力筋,សរសសដែកដាក់ឈរន្តង់
1389,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,7.0,上筋,សរសសដែកខាងឡលើ
1390,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,8.0,スパイラル筋,សរសសដែកលកខណ:រងវង់
1391,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,9.0,鉄筋径,វជិ ាមាន្តសរសសដែក
1392,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,34,10.0,かぶり厚さ,កមាល ស់ន្គប
1393,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,11.0,角度,មុុំ
1394,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,12.0,シングル,ឯក
1395,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,13.0,ダブル,ឡទវ
1396,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,14.0,千鳥結束,ចុំណងចឡ្ល ោះគ្នា
1397,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,15.0,切断寸法,ទុំហុំ ដផាកកាត់
1398,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,16.0,加工寸法,ទុំហុំ ដកសនា
1399,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,17.0,重ね継手,តុំណជា្់គ្នា
1400,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,18.0,圧接継手,តុំណគ្នប
1401,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,19.0,開口部,ដផាកឡបើកចុំហរ
1402,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,35,20.0,溶接金網,សុំណាញ់ ដែកផា
1403,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,36,21.0,搬出,ការែឹកឡចញ
1404,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,36,22.0,搬入,ការែឹកចូល
1405,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,36,23.0,基礎,ន្គឹោះ
1406,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,36,24.0,機械式継手,តុំណឡដាយមា៉ា សុី្
1407,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,36,25.0,配筋検査,ការន្តួតពិ្ិតយការដាក់ សរសសដែក
1408,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,1.0,トラクタ,ត្រាក់ទរ័
1409,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,2.0,ブルドーザ,គត្រេឿងចត្រករុញែី
1410,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,3.0,トラクタショベル,ត្រាក់ទ័រឈូសែី
1411,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,4.0,ホイルローダ,រ ឡូ ូ កិនែី
1412,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,5.0,ダンプトラック,ត្រាក់ទ័រែឹកែី
1413,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,6.0,油圧ショベル,គត្រេឿងចត្រកកាយែីអុីត្រែូ លិក
1414,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,7.0,バックホウ,ត្រាក់ទរកា័ យែី(គអសស្កា )
1415,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,8.0,ローディングショベル,គត្រេឿងចត្រកចូកែី
1416,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,37,9.0,ローラ,រ ឡូ ូ កិន
1417,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,10.0,バケット,ដប៉ាលចូក
1418,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,11.0,ブーム,ែងសនទ ចូ
1419,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,12.0,アーム,ដែគលើក
1420,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,13.0,ブレード（排土板）,ដប៉ាលរុញ(ដប៉ាលរុញែ)ី
1421,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,14.0,タイヤ,សំបកកង់
1422,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,15.0,クローラ,ត្រចវាក់
1423,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,16.0,キー（鍵）,គស្ក
1424,カンボジア語_pdfplumber_抽出_最終版.csv,カンボジア語,38,17.0,作業装置 （アタッチメント）,ឧបករណ៏ការងារ (attachment)
